Fiscal Year,2017,2018,2019,2020
Period Ended,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Net Income/Starting Line,-35.25,-17.21,60.39,86.97
Depreciation/Depletion,15.48,10.51,6.55,6.43
Non-Cash Items,10.85,6.65,8.20,5.36
Cash Taxes Paid,0.02,0.02,0.02,0.35
Changes in Working Capital,2.29,5.01,-38.31,12.86
Cash from Operating Activities,-6.62,4.96,36.83,111.62
Capital Expenditures,-0.33,-1.91,-4.35,-10.02
"Other Investing Cash Flow Items, Total",9.47,0.28,0.04,2.08
Cash from Investing Activities,9.14,-1.63,-4.31,-7.94
Total Cash Dividends Paid,0,0,0,-26.29
"Issuance (Retirement) of Stock, Net",0,0,0,43.06
Cash from Financing Activities,-2.81,-1.26,-1.00,13.06
Foreign Exchange Effects,0,0,0,0
Net Change in Cash,-0.29,2.07,31.53,116.74
