Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-19.44,-11.37,-1.99,-3.25,-5.25
Depreciation/Depletion,0.17,0.14,0.05,0.34,1.92
Non-Cash Items,10.54,7.32,0.57,0.86,0.16
Cash Taxes Paid,0.01,0.00,0.00,0.12,0.10
Changes in Working Capital,-3.59,0.84,-0.44,0.74,2.05
Cash from Operating Activities,-12.27,-3.07,-1.81,-1.25,-0.67
Capital Expenditures,-0.09,-0.01,-0.01,-0.08,-0.54
"Other Investing Cash Flow Items, Total",0.00,-0.00,0,-0.51,0.00
Cash from Investing Activities,-0.09,-0.01,-0.01,-0.59,-0.54
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",3.82,5.90,0.06,4.51,0.81
Cash from Financing Activities,11.82,4.89,0.09,-0.07,1.63
Foreign Exchange Effects,0.04,0.01,0.00,0.00,0.00
Net Change in Cash,-0.49,1.82,-1.73,-1.91,0.42
