Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3.17,2.17,1.66,3.18,5.45
Total Revenue,3.17,2.17,1.66,3.18,5.45
"Selling/General/Admin. Expenses, Total",20.95,10.40,2.23,4.25,7.74
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,1.59,0.00,0,0
"Other Operating Expenses, Total",-0.60,-0.35,-0.05,-0.06,-0.34
Total Operating Expense,22.34,12.86,2.98,6.18,10.40
Operating Income,-19.17,-10.69,-1.33,-3.00,-4.96
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.27,-0.51,-0.65,-0.09,-0.17
"Other, Net",0,-0.16,0,-0.15,0
Net Income Before Taxes,-19.44,-11.36,-1.97,-3.24,-5.13
Provision for Income Taxes,-0.00,0.01,0.02,0.00,-0.25
Net Income After Taxes,-19.44,-11.37,-1.99,-3.25,-4.88
Net Income Before Extra. Items,-18.76,-11.27,-2.04,-3.09,-3.88
Net Income,-18.76,-11.27,-2.04,-3.09,-4.25
Income Available to Com Excl ExtraOrd,-18.76,-11.27,-2.04,-3.09,-3.88
Income Available to Com Incl ExtraOrd,-18.76,-11.27,-2.04,-3.09,-4.25
Diluted Net Income,-18.76,-11.27,-2.04,-3.09,-4.25
Diluted Weighted Average Shares,2903.23,2057.23,4404.95,12455.81,15794.76
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.01,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.00,-0.00,-0.00,-0.00
