Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-7.98,-7.76,-10.84,-6.98,-12.16
Depreciation/Depletion,1.52,1.34,1.48,2.30,1.79
Non-Cash Items,0,0,0,0,0
Cash Taxes Paid,0.27,0.68,0.75,-0.01,0.10
Changes in Working Capital,4.05,-8.40,18.43,3.32,-4.86
Cash from Operating Activities,-2.41,-14.82,9.07,-1.37,-15.23
Capital Expenditures,-13.96,-6.47,-25.25,-16.08,-3.21
"Other Investing Cash Flow Items, Total",21.43,35.55,14.03,21.56,-0.78
Cash from Investing Activities,7.47,29.08,-11.23,5.48,-3.99
Total Cash Dividends Paid,-4.69,-4.48,-4.32,-4.14,-4.01
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-4.69,-4.48,-4.32,-4.83,-4.71
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0.38,9.79,-6.48,-0.72,-23.94
