Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,10.83,15.84,15.74,14.21,10.06
Total Revenue,10.83,15.84,15.74,14.21,10.06
"Selling/General/Admin. Expenses, Total",16.39,17.54,20.20,20.57,17.14
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.07,9.60,2.94,0.00,0
"Other Operating Expenses, Total",-1.41,-0.58,-0.55,-4.47,-0.74
Total Operating Expense,18.88,33.19,29.52,21.19,22.22
Operating Income,-8.05,-17.35,-13.78,-6.98,-12.16
"Interest Inc.(Exp.),Net-Non-Op., Total",4.66,3.01,2.82,-0.02,-3.84
"Other, Net",0,0,0.08,0.08,0.08
Net Income Before Taxes,-3.39,-14.35,-10.88,-6.92,-15.92
Provision for Income Taxes,0.35,0.40,0.24,-0.01,-0.03
Net Income After Taxes,-3.74,-14.75,-11.12,-6.91,-15.89
Net Income Before Extra. Items,-3.74,-14.75,-11.12,-6.91,-15.89
Net Income,-3.74,-14.75,-11.12,-6.91,-15.89
Income Available to Com Excl ExtraOrd,-3.74,-14.75,-11.12,-6.91,-15.89
Income Available to Com Incl ExtraOrd,-3.74,-14.75,-11.12,-6.91,-15.89
Diluted Net Income,-3.74,-14.75,-11.12,-6.91,-15.89
Diluted Weighted Average Shares,403.21,403.21,387.03,378.68,378.68
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.04,-0.03,-0.02,-0.04
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.00
Diluted Normalised EPS,-0.01,-0.02,-0.02,-0.02,-0.04
