Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2888.52,3409.18,4220.74,4801.14,7237.43
Total Revenue,2888.52,3409.18,4220.74,4801.14,7237.43
"Selling/General/Admin. Expenses, Total",211.34,283.70,341.20,427.30,706.04
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,-4.29,-4.66,-1.70,-0.35
"Other Operating Expenses, Total",-13.50,-18.30,-31.02,-33.68,-27.31
Total Operating Expense,2473.00,3034.07,3679.57,4295.28,5036.05
Operating Income,415.52,375.11,541.17,505.86,2201.38
"Interest Inc.(Exp.),Net-Non-Op., Total",26.69,9.94,-18.37,-82.28,-35.83
"Other, Net",0,0,0,0,0
Net Income Before Taxes,442.20,385.04,522.80,423.59,2165.55
Provision for Income Taxes,79.76,54.51,89.59,56.04,376.72
Net Income After Taxes,362.44,330.53,433.21,367.55,1788.83
Net Income Before Extra. Items,360.73,330.66,428.83,364.68,1778.19
Net Income,360.73,330.66,428.83,364.68,1778.19
Income Available to Com Excl ExtraOrd,360.73,330.66,428.83,364.68,1752.58
Income Available to Com Incl ExtraOrd,360.73,330.66,428.83,364.68,1752.58
Diluted Net Income,360.73,330.66,428.83,381.67,1752.58
Diluted Weighted Average Shares,7519.46,7598.47,22853.85,8059.91,8015.66
Diluted EPS Excluding ExtraOrd Items,0.05,0.04,0.02,0.05,0.22
DPS - Common Stock Primary Issue,0.02,0.02,0.01,0.03,0.12
Diluted Normalised EPS,0.05,0.04,0.02,0.05,0.22
