Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,442.20,385.04,522.80,423.59,2165.55
Depreciation/Depletion,105.77,106.04,143.61,188.82,241.71
Non-Cash Items,-32.22,16.31,51.36,91.04,36.38
Cash Taxes Paid,98.47,65.47,51.92,59.79,229.95
Changes in Working Capital,-82.05,-126.31,-378.08,-180.93,1008.26
Cash from Operating Activities,433.71,381.09,341.22,526.19,3455.58
Capital Expenditures,-231.30,-479.25,-458.98,-568.16,-815.92
"Other Investing Cash Flow Items, Total",196.94,302.59,-1239.26,74.70,-1553.59
Cash from Investing Activities,-34.36,-176.67,-1698.24,-493.46,-2369.50
Total Cash Dividends Paid,-168.86,-181.73,-196.15,-217.39,-397.41
"Issuance (Retirement) of Stock, Net",38.90,4.96,13.47,15.15,167.31
Cash from Financing Activities,-328.03,-205.33,1282.93,-34.57,-42.12
Foreign Exchange Effects,6.62,16.28,-5.72,2.83,1.27
Net Change in Cash,77.94,15.36,-79.80,0.99,1045.23
