Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0,0,0,0,0
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,0,0,0,0,0
Cash Taxes Paid,-0.79,-16.50,-12.58,-17.76,-9.03
Changes in Working Capital,0,0,0,0,0
Cash from Operating Activities,-28.31,-13.23,47.64,-45.78,9.97
Capital Expenditures,-0.74,-0.12,-0.02,-0.79,-0.48
"Other Investing Cash Flow Items, Total",1.93,1.07,-0.64,4.51,1.26
Cash from Investing Activities,1.19,0.95,-0.65,3.72,0.79
Total Cash Dividends Paid,-17.30,-19.22,-21.14,-15.91,-10.97
"Issuance (Retirement) of Stock, Net",0,0,7.51,6.57,-0.33
Cash from Financing Activities,31.50,-15.12,-54.05,51.78,-23.28
Foreign Exchange Effects,0.89,-0.13,-0.00,0.00,0.02
Net Change in Cash,5.27,-27.52,-7.07,9.72,-12.51
