Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,421.88,401.63,372.17,296.47,262.35
Total Revenue,421.88,401.63,372.17,296.47,262.35
"Selling/General/Admin. Expenses, Total",44.17,43.02,39.87,40.65,36.38
Depreciation/Amortisation,0.28,0.30,0.27,0.25,2.13
Unusual Expense (Income),-3.67,-5.06,-1.11,0.61,2.58
"Other Operating Expenses, Total",5.48,7.07,6.79,8.24,5.75
Total Operating Expense,363.10,350.60,327.09,272.63,249.20
Operating Income,58.78,51.03,45.08,23.84,13.16
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,58.78,51.03,45.08,23.84,13.16
Provision for Income Taxes,17.87,15.31,13.74,7.40,4.12
Net Income After Taxes,40.91,35.72,31.35,16.44,9.04
Net Income Before Extra. Items,40.91,35.72,31.35,16.44,9.04
Net Income,40.91,35.72,31.35,16.44,9.04
Income Available to Com Excl ExtraOrd,40.91,35.72,31.35,16.44,9.04
Income Available to Com Incl ExtraOrd,40.91,35.72,31.35,16.44,9.04
Diluted Net Income,40.91,35.72,31.35,16.44,9.04
Diluted Weighted Average Shares,382.09,383.58,386.25,403.15,406.23
Diluted EPS Excluding ExtraOrd Items,0.11,0.09,0.08,0.04,0.02
DPS - Common Stock Primary Issue,0.05,0.05,0.05,0.03,0.01
Diluted Normalised EPS,0.10,0.08,0.08,0.04,0.03
