Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,8.49,18.21,5.70
Short Term Investments,0.09,0.10,4.90,0.50,0.73
Cash and Short Term Investments,43.17,15.66,13.39,18.70,6.43
"Accounts Receivable - Trade, Net",104.51,117.58,83.79,11.04,20.27
"Total Receivables, Net",106.06,121.87,95.10,15.09,24.26
Prepaid Expenses,2.05,2.97,2.25,1.90,3.46
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,361.23,351.58,304.08,230.44,219.52
"Property/Plant/Equipment, Total - Gross",7.01,7.09,7.09,7.85,9.46
"Accumulated Depreciation, Total",-6.03,-6.30,-6.56,-6.79,-2.27
"Property/Plant/Equipment, Total - Net",0.99,0.79,0.54,1.06,7.19
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",2.82,2.82,2.82,2.82,2.82
Long Term Investments,11.56,11.33,13.60,10.63,8.91
Total Assets,741.38,712.78,640.40,685.24,655.18
Accounts Payable,93.71,54.28,20.68,28.02,11.41
Accrued Expenses,6.26,5.61,6.02,6.05,5.12
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",34.42,26.53,28.28,16.89,6.27
Total Current Liabilities,144.45,89.02,68.38,51.50,24.34
Total Long Term Debt,165.47,177.02,125.80,199.79,195.17
Total Debt,175.52,179.62,139.21,200.34,196.71
Deferred Income Tax,23.44,27.42,23.08,15.17,14.04
"Other Liabilities, Total",44.13,38.32,24.14,22.49,28.50
Total Liabilities,377.48,331.78,241.40,288.96,262.05
"Common Stock, Total",160.44,160.44,167.94,174.51,174.18
Retained Earnings (Accumulated Deficit),199.64,216.84,228.05,217.51,215.92
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",3.83,3.72,3.01,4.26,3.03
Total Equity,363.91,381.00,399.00,396.28,393.13
Total Liabilities & Shareholders' Equity,741.38,712.78,640.40,685.24,655.18
Total Common Shares Outstanding,382.09,383.58,394.43,405.47,406.23
"Tangible Book Value per Share, Common Eq",0.95,0.99,1.00,0.97,0.96
