Fiscal Year,2015,2016,2017,2018,2019
Period Ended,30 Sep 2015,30 Sep 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Period Length,12 Months,12 Months,15 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,86.70,103.40,116.03,109.71,207.79
Total Revenue,86.70,103.40,116.03,109.71,207.79
"Selling/General/Admin. Expenses, Total",43.38,53.48,76.92,67.98,68.14
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.01,0.01,0.12,0.01,0.69
"Other Operating Expenses, Total",-0.05,-0.56,-1.06,-2.37,-3.43
Total Operating Expense,110.02,128.57,161.70,153.30,225.92
Operating Income,-23.32,-25.17,-45.68,-43.59,-18.13
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.04,-0.13,-0.18,-0.25,-25.65
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-23.37,-25.30,-45.85,-43.84,-43.77
Provision for Income Taxes,-0.02,0.00,0.04,-0.00,2.81
Net Income After Taxes,-23.35,-25.30,-45.89,-43.84,-46.59
Net Income Before Extra. Items,-23.35,-25.30,-45.89,-43.69,-45.42
Net Income,-23.35,-25.30,-45.89,-43.69,-45.42
Income Available to Com Excl ExtraOrd,-23.35,-25.30,-45.89,-43.69,-45.42
Income Available to Com Incl ExtraOrd,-23.35,-25.30,-45.89,-43.69,-45.42
Diluted Net Income,-23.35,-25.30,-45.89,-43.69,-45.42
Diluted Weighted Average Shares,5944.39,5944.39,6713.48,7748.96,7748.96
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.00,-0.01,-0.01,-0.01
DPS - Common Stock Primary Issue,0.00,0,0.00,0,0
Diluted Normalised EPS,-0.00,-0.00,-0.01,-0.01,-0.01
