Fiscal Year,2015,2016,2017,2018,2019
Period Ended,30 Sep 2015,30 Sep 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-23.37,-25.30,-45.85,-43.84,-43.77
Depreciation/Depletion,1.16,1.40,8.23,10.81,14.30
Non-Cash Items,6.09,0.70,0.56,-0.34,26.51
Cash Taxes Paid,0.02,-0.02,0.05,-0.18,1.20
Changes in Working Capital,7.73,13.77,4.65,-48.23,43.38
Cash from Operating Activities,-8.38,-9.43,-32.42,-81.61,40.41
Capital Expenditures,-1.42,-1.83,-327.41,-0.90,-0.16
"Other Investing Cash Flow Items, Total",-5.00,0.01,0.10,0.12,-116.15
Cash from Investing Activities,-6.41,-1.82,-327.32,-0.78,-116.31
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,439.11,0.00,0
Cash from Financing Activities,4.47,49.87,380.36,43.28,89.45
Foreign Exchange Effects,-0.02,0.01,-0.04,-0.21,0.09
Net Change in Cash,-10.35,38.63,20.59,-39.31,13.63
