Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-8.80,-0.88,-1.31,-1.04,-0.70
Depreciation/Depletion,1.01,0.01,0.01,0.00,0.00
Non-Cash Items,2.27,-0.08,0.02,-0.00,0.01
Cash Taxes Paid,0.00,0.00,0.03,0.01,0.00
Changes in Working Capital,2.17,-0.28,0.02,-0.04,0.00
Cash from Operating Activities,-3.35,-1.23,-1.27,-1.08,-0.69
Capital Expenditures,-0.01,-0.01,-0.01,0.00,0.00
"Other Investing Cash Flow Items, Total",0.79,0.00,-0.20,0.01,0.00
Cash from Investing Activities,0.78,-0.01,-0.21,0.01,0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",2.55,0.00,2.08,0.00,1.63
Cash from Financing Activities,2.21,0.00,2.08,0.00,1.63
Foreign Exchange Effects,0.03,-0.07,0.02,0.01,0.01
Net Change in Cash,-0.33,-1.32,0.61,-1.06,0.95
