Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.93,1.02,1.00,0.87,0.86
Total Revenue,0.93,1.02,1.00,0.87,0.86
"Selling/General/Admin. Expenses, Total",5.47,2.20,1.88,1.62,1.35
Depreciation/Amortisation,0.00,0.01,0.01,0.00,0.00
Unusual Expense (Income),0.18,0,0,0.00,-0.02
"Other Operating Expenses, Total",1.25,-0.31,0.40,0.28,0.22
Total Operating Expense,6.90,1.90,2.28,1.90,1.55
Operating Income,-5.97,-0.88,-1.29,-1.03,-0.69
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-5.97,-0.88,-1.29,-1.03,-0.69
Provision for Income Taxes,0.00,0.00,0.03,0.01,0.01
Net Income After Taxes,-5.97,-0.88,-1.31,-1.04,-0.70
Net Income Before Extra. Items,-5.90,-0.89,-1.31,-1.04,-0.70
Net Income,-7.31,-0.89,-1.31,-1.04,-0.70
Income Available to Com Excl ExtraOrd,-5.90,-0.89,-1.31,-1.04,-0.70
Income Available to Com Incl ExtraOrd,-7.31,-0.89,-1.31,-1.04,-0.70
Diluted Net Income,-7.31,-0.89,-1.31,-1.04,-0.70
Diluted Weighted Average Shares,283.55,363.55,622.94,622.94,804.37
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.00,-0.00,-0.00,-0.00
