Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2055.42,2189.82,2517.86,2431.22,1033.43
Total Revenue,2055.42,2189.82,2517.86,2431.22,1033.43
"Selling/General/Admin. Expenses, Total",290.91,309.89,353.85,381.44,296.23
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),65.03,-14.89,120.30,24.43,-37.46
"Other Operating Expenses, Total",705.44,729.95,743.80,697.49,525.64
Total Operating Expense,2068.84,2011.92,2337.35,2136.45,1466.05
Operating Income,-13.41,177.90,180.51,294.77,-432.61
"Interest Inc.(Exp.),Net-Non-Op., Total",162.97,72.27,109.89,-13.10,-104.45
"Other, Net",0,0,0,0,0
Net Income Before Taxes,149.56,250.17,290.40,281.66,-537.06
Provision for Income Taxes,87.53,106.12,106.66,111.94,-26.48
Net Income After Taxes,62.03,144.05,183.74,169.72,-510.58
Net Income Before Extra. Items,106.05,158.00,192.91,152.49,-460.16
Net Income,106.05,158.00,192.91,152.49,-460.16
Income Available to Com Excl ExtraOrd,106.05,158.00,192.91,152.49,-460.16
Income Available to Com Incl ExtraOrd,106.05,158.00,192.91,152.49,-460.16
Diluted Net Income,106.05,158.00,192.91,152.49,-460.16
Diluted Weighted Average Shares,3569.52,3570.42,3574.62,3571.56,3571.06
Diluted EPS Excluding ExtraOrd Items,0.03,0.04,0.05,0.04,-0.13
DPS - Common Stock Primary Issue,0.02,0,0.03,0.01,0
Diluted Normalised EPS,0.04,0.04,0.08,0.05,-0.14
