Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,119.27,145.59,160.34,216.05,262.98
Short Term Investments,23.81,111.76,67.51,59.46,223.73
Cash and Short Term Investments,143.07,257.35,227.85,275.50,486.70
"Accounts Receivable - Trade, Net",19.85,24.51,32.34,31.96,56.36
"Total Receivables, Net",36.51,37.00,44.45,49.55,90.88
Prepaid Expenses,9.42,25.27,10.54,11.76,11.24
"Other Current Assets, Total",29.33,199.12,216.93,257.38,33.02
Total Current Assets,218.54,518.95,500.09,594.86,622.18
"Property/Plant/Equipment, Total - Gross",106.76,112.18,114.83,693.76,693.11
"Accumulated Depreciation, Total",-54.95,-62.41,-66.26,-64.91,-83.83
"Property/Plant/Equipment, Total - Net",51.81,49.77,48.56,628.84,609.28
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,4507.92,4911.39,4682.34,6174.00,5920.67
Total Assets,4791.28,5493.05,5309.13,7422.79,7163.83
Accounts Payable,6.63,10.95,17.23,12.93,16.85
Accrued Expenses,8.37,8.63,9.20,10.13,10.68
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",58.71,43.00,41.79,80.23,50.87
Total Current Liabilities,281.54,505.09,218.19,565.41,537.54
Total Long Term Debt,1715.66,1681.11,1835.32,2285.96,2404.47
Total Debt,1862.63,1945.37,1905.45,2641.04,2745.81
Deferred Income Tax,94.08,119.21,117.87,200.15,131.76
"Other Liabilities, Total",17.75,15.96,6.85,28.96,47.99
Total Liabilities,2193.53,2410.80,2267.95,3165.93,3200.28
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",2597.75,3082.26,3041.18,4256.85,3963.55
Total Equity,2597.75,3082.26,3041.18,4256.85,3963.55
Total Liabilities & Shareholders' Equity,4791.28,5493.05,5309.13,7422.79,7163.83
Total Common Shares Outstanding,1724.45,2149.69,2164.59,3083.09,3108.05
"Tangible Book Value per Share, Common Eq",1.51,1.43,1.40,1.38,1.28
