Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,475.59,496.29,514.27,514.96,369.87
Total Revenue,475.59,496.29,514.27,514.96,369.87
"Selling/General/Admin. Expenses, Total",5.23,5.03,5.32,4.83,6.09
Depreciation/Amortisation,0,0,0,0,18.93
Unusual Expense (Income),0.54,0.62,0.36,144.14,26.81
"Other Operating Expenses, Total",-5.71,2.67,0.52,2.51,5.06
Total Operating Expense,326.38,329.41,357.58,484.55,337.99
Operating Income,149.21,166.88,156.69,30.41,31.88
"Interest Inc.(Exp.),Net-Non-Op., Total",30.30,86.72,35.48,249.29,-379.33
"Other, Net",0,0,0,-19.70,1.05
Net Income Before Taxes,179.52,274.44,195.38,261.01,-267.96
Provision for Income Taxes,31.75,51.94,43.54,44.69,-42.67
Net Income After Taxes,147.76,222.50,151.84,216.32,-225.30
Net Income Before Extra. Items,143.31,214.25,147.59,216.26,-222.55
Net Income,143.31,214.25,147.59,216.26,-222.55
Income Available to Com Excl ExtraOrd,124.06,195.05,128.39,196.52,-238.08
Income Available to Com Incl ExtraOrd,124.06,195.05,128.39,196.52,-238.08
Diluted Net Income,124.06,195.05,128.39,196.52,-238.08
Diluted Weighted Average Shares,1761.41,2074.25,2173.29,2185.72,3096.48
Diluted EPS Excluding ExtraOrd Items,0.07,0.09,0.06,0.09,-0.08
DPS - Common Stock Primary Issue,0.08,0.07,0.07,0.07,0.03
Diluted Normalised EPS,0.07,0.09,0.06,0.14,-0.09
