Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Net Income/Starting Line,12.70,14.10,19.03,20.75
Depreciation/Depletion,2.11,1.56,3.40,3.16
Non-Cash Items,-1.39,-1.26,-1.21,-1.91
Cash Taxes Paid,1.48,2.16,2.41,1.72
Changes in Working Capital,-3.14,-2.89,-2.38,-2.29
Cash from Operating Activities,10.90,11.97,19.77,20.58
Capital Expenditures,-1.73,-1.09,-3.35,-1.42
"Other Investing Cash Flow Items, Total",0.81,-6.90,-3.33,2.66
Cash from Investing Activities,-0.91,-7.99,-6.67,1.24
Total Cash Dividends Paid,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.00,0.00,26.97
Cash from Financing Activities,-21.67,-10.42,1.27,-0.63
Foreign Exchange Effects,0.03,-0.00,0.00,0.00
Net Change in Cash,-11.65,-6.45,14.36,21.19
