Fiscal Year,2018,2019,2020
Period Ended,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,ARS
Revenue,10988.60,11994.15,30405.12
Total Revenue,10988.60,11994.15,30405.12
"Selling/General/Admin. Expenses, Total",549.60,725.40,1100.34
Depreciation/Amortisation,0,0,0
Unusual Expense (Income),-13.55,-21.64,-11.94
"Other Operating Expenses, Total",-82.88,-116.09,-229.89
Total Operating Expense,9641.43,11087.31,14355.67
Operating Income,1347.16,906.83,16049.45
"Interest Inc.(Exp.),Net-Non-Op., Total",-159.73,-188.97,-102.98
"Other, Net",0,0,0
Net Income Before Taxes,1187.43,717.86,15946.47
Provision for Income Taxes,205.85,103.95,1545.60
Net Income After Taxes,981.58,613.91,14400.87
Net Income Before Extra. Items,1053.07,634.30,14400.87
Net Income,1053.07,634.30,14400.87
Income Available to Com Excl ExtraOrd,1053.07,634.30,14400.87
Income Available to Com Incl ExtraOrd,1053.07,634.30,14400.87
Diluted Net Income,1053.07,634.30,14389.96
Diluted Weighted Average Shares,399.65,1528.42,2426.64
Diluted EPS Excluding ExtraOrd Items,2.64,0.42,5.93
DPS - Common Stock Primary Issue,0,0,0
Diluted Normalised EPS,2.61,0.40,5.93
