Fiscal Year,2017,2018,2019,2020
Period Ended,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.52,1.59,1.39,2.40
Depreciation/Depletion,0.03,0.02,0.02,0.60
Non-Cash Items,0.02,0.01,-0.29,0.31
Cash Taxes Paid,0.05,0.20,0.21,0.09
Changes in Working Capital,0.18,0.06,-0.46,-1.09
Cash from Operating Activities,1.75,1.69,0.67,2.40
Capital Expenditures,-0.05,0.00,-0.01,-0.01
"Other Investing Cash Flow Items, Total",-0.59,-0.45,-0.08,0.41
Cash from Investing Activities,-0.64,-0.45,-0.09,0.41
Total Cash Dividends Paid,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.00,0.00,0
Cash from Financing Activities,0.42,-2.36,-0.12,0.90
Foreign Exchange Effects,0,0,0,0
Net Change in Cash,1.53,-1.12,0.45,3.71
