Fiscal Year,2017,2018,2019,2020
Period Ended,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS
Revenue,4.03,4.01,3.89,9.65
Total Revenue,4.03,4.01,3.89,9.65
"Selling/General/Admin. Expenses, Total",1.26,1.24,1.25,2.81
Depreciation/Amortisation,0.03,0.02,0.02,0.78
Unusual Expense (Income),0,0,0,-0.49
"Other Operating Expenses, Total",0.31,0.30,0.76,2.03
Total Operating Expense,2.51,2.42,2.48,7.33
Operating Income,1.52,1.59,1.40,2.32
"Interest Inc.(Exp.),Net-Non-Op., Total",0.00,0.00,-0.01,0.08
"Other, Net",0,0,0,-0.00
Net Income Before Taxes,1.52,1.59,1.39,2.40
Provision for Income Taxes,0.20,0.21,0.14,0.52
Net Income After Taxes,1.33,1.39,1.26,1.88
Net Income Before Extra. Items,1.33,1.39,1.26,1.88
Net Income,1.33,1.39,1.26,1.88
Income Available to Com Excl ExtraOrd,1.33,1.39,1.26,1.88
Income Available to Com Incl ExtraOrd,1.33,1.39,1.26,1.88
Diluted Net Income,1.33,1.39,1.26,1.88
Diluted Weighted Average Shares,161.62,161.62,161.62,161.62
Diluted EPS Excluding ExtraOrd Items,0.01,0.01,0.01,0.01
DPS - Common Stock Primary Issue,0,0,0,0.01
Diluted Normalised EPS,0.01,0.01,0.01,0.01
