Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.89,-0.57,-0.78,0.56,-1.93
Depreciation/Depletion,0.30,0,0,1.38,1.32
Non-Cash Items,-5.31,0.10,0.31,-0.21,0.87
Cash Taxes Paid,0.01,0,0,0.17,0.06
Changes in Working Capital,-2.84,-0.13,0.07,-1.00,-0.63
Cash from Operating Activities,-2.95,-0.60,-0.39,0.75,-0.36
Capital Expenditures,-0.73,0,0,-0.18,-0.02
"Other Investing Cash Flow Items, Total",22.12,1.99,0.75,2.20,3.05
Cash from Investing Activities,21.39,1.99,0.75,2.02,3.03
Total Cash Dividends Paid,-11.06,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-45.18,-1.87,-0.88,-1.02,-0.97
Foreign Exchange Effects,-0.28,0,0,0,0
Net Change in Cash,-27.02,-0.48,-0.52,1.75,1.70
