Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-123.59,-58.33,-205.06,-139.13,-56.78
Depreciation/Depletion,6.31,6.84,3.28,3.81,9.98
Non-Cash Items,87.18,23.64,172.96,98.74,32.33
Cash Taxes Paid,0.20,-0.06,0.16,0.41,0.45
Changes in Working Capital,-29.34,-14.60,-51.13,-11.41,8.90
Cash from Operating Activities,-54.45,-37.65,-74.84,-42.38,-0.72
Capital Expenditures,-3.59,-0.22,-37.42,-0.70,-6.82
"Other Investing Cash Flow Items, Total",-36.51,-30.50,58.21,13.48,0.59
Cash from Investing Activities,-40.10,-30.72,20.79,12.78,-6.23
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",45.61,0.00,84.13,0.00,0
Cash from Financing Activities,118.28,0.00,54.13,22.00,0.14
Foreign Exchange Effects,0.00,0.03,-0.08,0.12,0.53
Net Change in Cash,23.74,-68.34,0.01,-7.48,-6.28
