Fiscal Year,2018,2019,2020
Period Ended,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,9 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,ARS
Revenue,3.44,66.00,127.10
Total Revenue,3.44,66.00,127.10
"Selling/General/Admin. Expenses, Total",2.23,6.81,17.39
Depreciation/Amortisation,0.11,0.25,0.34
Unusual Expense (Income),0.00,-0.02,-9.14
"Other Operating Expenses, Total",1.28,-4.47,0.53
Total Operating Expense,3.95,49.67,80.04
Operating Income,-0.51,16.33,47.06
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.06,-0.93,-0.99
"Other, Net",0,0,0
Net Income Before Taxes,-0.57,15.40,46.08
Provision for Income Taxes,0.17,2.96,8.01
Net Income After Taxes,-0.74,12.43,38.07
Net Income Before Extra. Items,-1.47,12.43,38.07
Net Income,-1.47,12.43,38.07
Income Available to Com Excl ExtraOrd,-1.47,12.43,38.07
Income Available to Com Incl ExtraOrd,-1.47,12.43,38.07
Diluted Net Income,-1.47,12.43,38.07
Diluted Weighted Average Shares,1073.79,1073.79,917.25
Diluted EPS Excluding ExtraOrd Items,-0.00,0.01,0.04
DPS - Common Stock Primary Issue,0.00,0,0.01
Diluted Normalised EPS,-0.00,0.01,0.03
