Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,16736.33,15855.61,15731.42,14533.35,12319.50
Total Revenue,16736.33,15855.61,15731.42,14533.35,12319.50
"Selling/General/Admin. Expenses, Total",2424.40,2437.68,2482.29,2498.53,2258.20
Depreciation/Amortisation,19.52,21.22,28.75,25.39,26.39
Unusual Expense (Income),-5.20,5.19,-17.28,-11.17,-9.04
"Other Operating Expenses, Total",-57.43,-13.55,-35.32,-13.61,-120.81
Total Operating Expense,16046.77,14903.44,14759.67,13967.88,12045.38
Operating Income,689.57,952.18,971.75,565.48,274.11
"Interest Inc.(Exp.),Net-Non-Op., Total",-20.41,-13.30,-20.49,-29.55,-6.94
"Other, Net",0,0,0,0,0
Net Income Before Taxes,669.16,938.88,951.27,535.92,267.17
Provision for Income Taxes,335.07,308.12,320.65,224.87,182.00
Net Income After Taxes,334.09,630.76,630.62,311.05,85.17
Net Income Before Extra. Items,191.07,501.92,600.90,212.93,9.51
Net Income,191.07,501.92,600.90,212.93,9.51
Income Available to Com Excl ExtraOrd,191.07,501.92,600.90,212.93,9.51
Income Available to Com Incl ExtraOrd,191.07,501.92,600.90,212.93,9.51
Diluted Net Income,191.07,501.92,600.90,212.93,9.51
Diluted Weighted Average Shares,2013.31,2013.31,2013.31,2013.31,2013.31
Diluted EPS Excluding ExtraOrd Items,0.09,0.25,0.30,0.11,0.00
DPS - Common Stock Primary Issue,0.09,0.11,0.12,0.11,0.04
Diluted Normalised EPS,0.09,0.25,0.29,0.10,0.00
