Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-7.70,1.51,-0.64,0.01,-0.71
Depreciation/Depletion,0.18,0,0,0.02,0.02
Non-Cash Items,5.82,-0.69,-0.04,0.02,-0.24
Cash Taxes Paid,0.00,0,0,0,0
Changes in Working Capital,-1.33,0.09,0.15,-0.28,0.06
Cash from Operating Activities,-3.03,0.91,-0.52,-0.22,-0.88
Capital Expenditures,0,0,0,0,0
"Other Investing Cash Flow Items, Total",-0.16,-0.01,0.00,0.02,0.02
Cash from Investing Activities,-0.16,-0.01,0.00,0.02,0.02
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,2.74,-0.48,0.23,0.41,0.67
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-0.45,0.42,-0.29,0.21,-0.19
