Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,4132.00,4548.00,5542.00,4207.00,4508.00
Total Revenue,4132.00,4548.00,5542.00,4207.00,4508.00
"Selling/General/Admin. Expenses, Total",701.00,724.00,850.00,608.00,648.00
Depreciation/Amortisation,58.00,126.00,193.00,193.00,186.00
Unusual Expense (Income),51.00,108.00,127.00,91.00,72.00
"Other Operating Expenses, Total",24.00,17.00,6.00,-19.00,-21.00
Total Operating Expense,3646.00,3875.00,4700.00,3382.00,3607.00
Operating Income,486.00,673.00,842.00,825.00,901.00
"Interest Inc.(Exp.),Net-Non-Op., Total",-104.00,-125.00,-26.00,-99.00,-94.00
"Other, Net",-9.00,-13.00,-9.00,-7.00,-4.00
Net Income Before Taxes,373.00,535.00,807.00,719.00,803.00
Provision for Income Taxes,72.00,-131.00,148.00,71.00,71.00
Net Income After Taxes,301.00,666.00,659.00,648.00,732.00
Net Income Before Extra. Items,301.00,664.00,655.00,647.00,730.00
Net Income,301.00,707.00,559.00,645.00,869.00
Income Available to Com Excl ExtraOrd,301.00,664.00,655.00,647.00,730.00
Income Available to Com Incl ExtraOrd,301.00,707.00,559.00,645.00,869.00
Diluted Net Income,301.00,707.00,559.00,645.00,869.00
Diluted Weighted Average Shares,57.07,68.46,74.72,74.56,74.71
Diluted EPS Excluding ExtraOrd Items,5.27,9.70,8.77,8.68,9.77
DPS - Common Stock Primary Issue,2.55,2.75,2.75,2.75,3.00
Diluted Normalised EPS,6.56,10.72,10.15,9.78,10.65
