Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-0.48,-0.31,-1.00,-190.80,-10.63
Depreciation/Depletion,0.00,0.00,0.00,0.08,0.02
Non-Cash Items,-0.59,-0.16,0.18,187.56,2.25
Cash Taxes Paid,0,0,0,0,0
Changes in Working Capital,0.07,1.62,0.00,-0.00,5.30
Cash from Operating Activities,-1.00,1.15,-0.82,-3.16,-3.05
Capital Expenditures,0.00,-1.93,-3.05,-10.91,-0.00
"Other Investing Cash Flow Items, Total",0.76,2.82,-1.24,1.43,0.35
Cash from Investing Activities,0.76,0.89,-4.29,-9.48,0.34
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.00,3.79,9.25,0.00
Cash from Financing Activities,0.00,-1.94,4.78,12.81,2.70
Foreign Exchange Effects,-0.01,-0.01,-0.00,-0.00,-0.02
Net Change in Cash,-0.25,0.09,-0.34,0.17,-0.02
