Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,4.63,1.21,0.49,5.61,6.62
Total Revenue,4.63,1.21,0.49,5.61,6.62
"Selling/General/Admin. Expenses, Total",1.41,0.79,0.59,2.62,3.67
Depreciation/Amortisation,0,0.06,0.00,0.20,0.38
Unusual Expense (Income),3.17,0.12,0.00,12.70,0.00
"Other Operating Expenses, Total",1.64,-0.41,0.38,0.10,-0.75
Total Operating Expense,9.54,1.33,1.17,17.70,6.63
Operating Income,-4.91,-0.12,-0.68,-12.09,-0.01
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.00,-0.00,-0.02,-0.02
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-4.91,-0.12,-0.68,-12.11,-0.03
Provision for Income Taxes,0.01,0.00,-0.01,0.07,0.08
Net Income After Taxes,-4.92,-0.12,-0.67,-12.18,-0.11
Net Income Before Extra. Items,-4.95,0.10,-0.59,-12.25,0.10
Net Income,-4.95,0.10,-0.59,-12.25,0.10
Income Available to Com Excl ExtraOrd,-4.95,0.10,-0.59,-12.25,0.10
Income Available to Com Incl ExtraOrd,-4.95,0.10,-0.59,-12.25,0.10
Diluted Net Income,-4.95,0.10,-0.59,-12.25,0.10
Diluted Weighted Average Shares,2.16,15.78,27.29,157.60,167.50
Diluted EPS Excluding ExtraOrd Items,-2.29,0.01,-0.02,-0.08,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-1.34,0.01,-0.02,-0.03,0.00
