Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Net Income/Starting Line,68.00,69.00,70.70,-29.00,-660.00
Depreciation/Depletion,57.70,56.70,93.20,91.90,124.20
Non-Cash Items,11.80,6.80,3.80,74.90,472.80
Cash Taxes Paid,19.00,13.30,18.80,6.00,9.60
Changes in Working Capital,-31.90,-14.70,-15.10,-24.90,-20.50
Cash from Operating Activities,107.70,119.90,152.60,112.90,-83.50
Capital Expenditures,-79.70,-88.30,-68.60,-50.00,-44.20
"Other Investing Cash Flow Items, Total",-143.10,-13.70,-0.40,-30.40,-64.30
Cash from Investing Activities,-222.80,-102.00,-69.00,-80.40,-108.50
Total Cash Dividends Paid,-56.50,-50.30,-37.80,-37.90,0.00
"Issuance (Retirement) of Stock, Net",0.00,0.60,0.10,0.10,0.00
Cash from Financing Activities,-6.70,-21.40,-16.80,-10.70,82.30
Foreign Exchange Effects,-4.30,4.90,-3.90,2.10,3.60
Net Change in Cash,-126.10,1.40,62.90,23.90,-106.10
