Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,85.90,108.90,109.00,124.30,89.30
Short Term Investments,96.70,75.00,137.80,146.40,75.30
Cash and Short Term Investments,182.60,183.90,246.80,270.70,164.60
"Accounts Receivable - Trade, Net",40.70,44.40,39.60,40.80,17.60
"Total Receivables, Net",71.10,69.60,60.60,58.70,36.00
Prepaid Expenses,12.10,13.80,18.50,18.70,16.30
"Other Current Assets, Total",16.20,20.80,20.30,21.70,22.50
Total Current Assets,287.90,294.50,352.80,376.00,245.40
"Property/Plant/Equipment, Total - Gross",1876.20,2032.00,2125.00,1968.20,2128.90
"Accumulated Depreciation, Total",-524.10,-578.80,-576.20,-493.30,-650.00
"Property/Plant/Equipment, Total - Net",1352.10,1453.20,1548.80,1474.90,1478.90
"Goodwill, Net",23.90,23.90,23.90,23.90,23.90
"Intangibles, Net",20.40,23.80,25.40,29.10,21.50
Long Term Investments,174.50,207.60,211.30,3186.70,2776.00
Total Assets,1861.40,2019.40,2179.00,5108.70,4574.10
Accounts Payable,32.90,33.80,22.70,21.60,15.00
Accrued Expenses,64.80,76.50,85.10,75.50,62.50
Notes Payable/Short Term Debt,0.10,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",51.10,58.90,74.50,88.00,77.20
Total Current Liabilities,151.30,171.80,712.20,194.60,225.90
Total Long Term Debt,477.40,508.10,168.60,737.00,776.70
Total Debt,479.90,510.70,698.50,746.50,847.90
Deferred Income Tax,56.10,58.60,61.60,59.40,47.10
"Other Liabilities, Total",3.20,0.80,0.40,1.10,11.20
Total Liabilities,692.00,745.40,946.60,995.70,1064.60
"Common Stock, Total",62.80,62.90,63.10,63.20,63.20
Retained Earnings (Accumulated Deficit),787.40,792.40,787.50,695.10,20.00
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0.00,2943.40,2943.40
"Other Equity, Total",-171.20,-75.20,-116.00,-88.40,-16.80
Total Equity,1169.40,1274.00,1232.40,4113.00,3509.50
Total Liabilities & Shareholders' Equity,1861.40,2019.40,2179.00,5108.70,4574.10
Total Common Shares Outstanding,1255.90,1258.60,1261.40,1263.20,1263.20
"Tangible Book Value per Share, Common Eq",0.90,0.97,0.94,3.21,2.74
