Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,58.82,65.24,78.06,91.71,144.21
Total Revenue,58.82,65.24,78.06,91.71,144.21
"Selling/General/Admin. Expenses, Total",8.07,8.36,10.65,15.09,17.72
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,0,-0.01,0.00,0
"Other Operating Expenses, Total",-2.33,-1.23,1.12,1.65,6.07
Total Operating Expense,51.87,62.71,72.90,88.04,125.32
Operating Income,6.95,2.53,5.16,3.67,18.89
"Interest Inc.(Exp.),Net-Non-Op., Total",0.52,0.04,-0.12,-0.91,-0.83
"Other, Net",0,0,0,0,0
Net Income Before Taxes,7.47,2.57,5.05,2.76,18.06
Provision for Income Taxes,1.95,0.39,0.73,0.55,2.97
Net Income After Taxes,5.52,2.18,4.31,2.22,15.09
Net Income Before Extra. Items,5.45,2.44,4.34,2.51,13.40
Net Income,5.45,2.44,4.34,2.51,13.40
Income Available to Com Excl ExtraOrd,5.45,2.44,4.34,2.51,13.40
Income Available to Com Incl ExtraOrd,5.45,2.44,4.34,2.51,13.40
Diluted Net Income,5.45,2.44,4.34,2.51,13.40
Diluted Weighted Average Shares,565.75,575.93,575.38,580.06,592.27
Diluted EPS Excluding ExtraOrd Items,0.01,0.00,0.01,0.00,0.02
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalised EPS,0.01,0.00,0.01,0.00,0.02
