Fiscal Year,2018,2019,2020
Period Ended,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,13 Months,12 Months,12 Months
Source,ARS,ARS,ARS
Revenue,135.29,177.05,186.97
Total Revenue,135.29,177.05,186.97
"Selling/General/Admin. Expenses, Total",4.58,5.20,4.95
Depreciation/Amortisation,0,0,0
Unusual Expense (Income),0,0,0.36
"Other Operating Expenses, Total",0,0.72,-0.04
Total Operating Expense,28.61,47.01,90.44
Operating Income,106.67,130.04,96.54
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0
"Other, Net",0,0,0
Net Income Before Taxes,106.67,130.04,96.54
Provision for Income Taxes,20.94,21.00,17.17
Net Income After Taxes,85.73,109.05,79.36
Net Income Before Extra. Items,85.73,109.05,79.36
Net Income,85.73,109.05,79.36
Income Available to Com Excl ExtraOrd,85.73,109.05,79.36
Income Available to Com Incl ExtraOrd,85.73,109.05,79.36
Diluted Net Income,85.73,109.05,79.36
Diluted Weighted Average Shares,343.88,474.35,511.22
Diluted EPS Excluding ExtraOrd Items,0.25,0.23,0.16
DPS - Common Stock Primary Issue,0.20,0.20,0.17
Diluted Normalised EPS,0.25,0.23,0.16
