Fiscal Year,2018,2019,2020
Period Ended,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS
Cash,0,0,0
Short Term Investments,0,0,0
Cash and Short Term Investments,57.76,79.25,43.59
"Accounts Receivable - Trade, Net",0,0,0
"Total Receivables, Net",49.30,57.56,16.64
Prepaid Expenses,0.65,0.70,0.71
"Other Current Assets, Total",0,68.95,0.00
Total Current Assets,107.70,206.47,60.93
"Property/Plant/Equipment, Total - Gross",0,0,0
"Accumulated Depreciation, Total",0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0
"Goodwill, Net",0,0,0
"Intangibles, Net",0,0,0
Long Term Investments,1690.22,2041.50,2184.53
Total Assets,1814.84,2254.87,2250.45
Accounts Payable,0,0,0
Accrued Expenses,0,0,0
Notes Payable/Short Term Debt,0.00,20.44,0.00
"Other Current liabilities, Total",48.33,54.20,32.17
Total Current Liabilities,76.84,101.20,56.88
Total Long Term Debt,591.73,803.36,847.07
Total Debt,591.73,823.80,847.07
Deferred Income Tax,21.53,28.13,36.63
"Other Liabilities, Total",5.97,7.59,7.73
Total Liabilities,696.08,940.29,948.30
"Common Stock, Total",1070.50,1236.80,1241.19
Retained Earnings (Accumulated Deficit),48.27,77.79,60.96
Treasury Stock - Common,0,0,0
Unrealised Gain (Loss),0,0,0
"Other Equity, Total",0,0,0
Total Equity,1118.77,1314.59,1302.15
Total Liabilities & Shareholders' Equity,1814.84,2254.87,2250.45
Total Common Shares Outstanding,436.40,509.56,511.22
"Tangible Book Value per Share, Common Eq",2.56,2.58,2.55
