Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,Yuho,Yuho,Yuho,Yuho,Yuho
Revenue,1715516.00,1972158.00,1835118.00,1952482.00,1617235.00
Total Revenue,1715516.00,1972158.00,1835118.00,1952482.00,1617235.00
"Selling/General/Admin. Expenses, Total",871107.00,919947.00,848422.00,860731.00,884178.00
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",209295.00,248864.00,306049.00,178837.00,287023.00
Total Operating Expense,1392721.00,1644000.00,1872819.00,1704221.00,1386564.00
Operating Income,322795.00,328158.00,-37701.00,248261.00,230671.00
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,322795.00,328158.00,-37701.00,248261.00,230671.00
Provision for Income Taxes,80229.00,103866.00,57010.00,28894.00,70274.00
Net Income After Taxes,242566.00,224292.00,-94711.00,219367.00,160397.00
Net Income Before Extra. Items,239617.00,219343.00,-100442.00,216998.00,153116.00
Net Income,239617.00,219343.00,-100442.00,216998.00,153116.00
Income Available to Com Excl ExtraOrd,239617.00,219343.00,-100442.00,216998.00,153116.00
Income Available to Com Incl ExtraOrd,239617.00,219343.00,-100442.00,216998.00,153116.00
Diluted Net Income,239475.00,219266.00,-100442.00,216890.00,153064.00
Diluted Weighted Average Shares,3647.73,3543.60,3359.56,3276.51,3147.34
Diluted EPS Excluding ExtraOrd Items,65.65,61.88,-29.90,66.20,48.63
DPS - Common Stock Primary Issue,20.00,20.00,6.00,20.00,35.00
Diluted Normalised EPS,65.65,61.88,-29.90,66.20,48.63
