Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.87,112.49,167.11,138.86,151.27
Total Revenue,0.87,112.49,167.11,138.86,151.27
"Selling/General/Admin. Expenses, Total",2.53,9.94,16.18,18.60,13.23
Depreciation/Amortisation,0.11,0,0,0,0
Unusual Expense (Income),4.98,-2.21,-1.12,2.77,1.65
"Other Operating Expenses, Total",1.58,-2.10,-0.03,0.56,-0.72
Total Operating Expense,9.22,112.84,165.94,151.49,152.34
Operating Income,-8.35,-0.35,1.18,-12.63,-1.08
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-8.35,-0.35,1.18,-12.63,-1.08
Provision for Income Taxes,-0.03,-0.54,0.31,0.28,0.10
Net Income After Taxes,-8.31,0.19,0.86,-12.91,-1.18
Net Income Before Extra. Items,-8.31,-0.31,0.14,-12.01,-0.58
Net Income,-8.31,-0.31,0.14,-12.01,-0.58
Income Available to Com Excl ExtraOrd,-8.31,-0.31,0.14,-12.01,-0.58
Income Available to Com Incl ExtraOrd,-8.31,-0.31,0.14,-12.01,-0.58
Diluted Net Income,-8.31,-0.31,0.14,-12.01,-0.58
Diluted Weighted Average Shares,262.15,263.64,272.13,279.14,279.14
Diluted EPS Excluding ExtraOrd Items,-0.03,-0.00,0.00,-0.04,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.01,-0.00,-0.03,0.00
