Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-8.31,0.19,0.86,-12.91,-1.18
Depreciation/Depletion,0.08,0.50,0.96,2.37,2.31
Non-Cash Items,5.25,-5.48,-0.76,7.06,-0.01
Cash Taxes Paid,-0.02,0.03,0.15,0.14,0.21
Changes in Working Capital,12.25,7.24,-13.13,14.38,4.00
Cash from Operating Activities,9.29,4.42,-10.11,12.75,7.02
Capital Expenditures,0,-0.50,-1.00,-0.97,-0.52
"Other Investing Cash Flow Items, Total",-22.21,3.42,-3.48,-0.15,1.72
Cash from Investing Activities,-22.21,2.93,-4.48,-1.11,1.20
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,4.56,-2.79,10.63,-8.24,-8.99
Foreign Exchange Effects,0.01,0.01,-0.02,-0.01,0.00
Net Change in Cash,-8.35,4.57,-3.98,3.39,-0.77
