Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,7.84,5.72,14.96,11.38,-2.93
Total Revenue,7.84,5.72,14.96,11.38,-2.93
"Selling/General/Admin. Expenses, Total",0.46,0.97,0.94,1.47,0.26
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.01,0.03,0,0,1.06
Total Operating Expense,0.90,1.18,0.94,1.47,1.33
Operating Income,6.94,4.54,14.02,9.91,-4.26
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0.02,-0.01
"Other, Net",0,0,0,0,0.00
Net Income Before Taxes,6.94,4.54,14.02,9.92,-4.27
Provision for Income Taxes,0,0,0,0,0
Net Income After Taxes,6.94,4.54,14.02,9.92,-4.27
Net Income Before Extra. Items,6.94,4.54,14.02,9.92,-4.27
Net Income,6.94,4.54,14.02,9.92,-4.27
Income Available to Com Excl ExtraOrd,6.94,4.54,14.02,9.92,-4.27
Income Available to Com Incl ExtraOrd,6.94,4.54,14.02,9.92,-4.27
Diluted Net Income,6.94,4.54,14.02,9.92,-4.27
Diluted Weighted Average Shares,45.09,44.66,44.61,44.60,44.52
Diluted EPS Excluding ExtraOrd Items,0.15,0.10,0.31,0.22,-0.10
DPS - Common Stock Primary Issue,0.06,0.07,0.03,0.03,0.02
Diluted Normalised EPS,0.15,0.10,0.31,0.22,-0.10
