Fiscal Year,2017,2018,2019,2020,2020.1
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-15.86,-8.12,-2.60,-1.66,-1.28
Depreciation/Depletion,0.63,0.01,0.00,0.01,0
Non-Cash Items,10.90,4.10,1.43,0.82,0.74
Cash Taxes Paid,0.05,0,0,0,0
Changes in Working Capital,-7.35,3.96,-0.56,0.50,0.37
Cash from Operating Activities,-11.40,-0.05,-1.73,-0.34,-0.18
Capital Expenditures,-0.08,0,0,0,0
"Other Investing Cash Flow Items, Total",-0.03,1.71,0.45,0.00,0
Cash from Investing Activities,-0.12,1.71,0.45,0.00,0
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",4.50,3.00,0.00,0,0
Cash from Financing Activities,11.81,-3.46,0.00,0.41,0.14
Foreign Exchange Effects,0.28,0.04,0.01,0.00,0
Net Change in Cash,0.57,-1.76,-1.27,0.07,-0.04
