Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,101.18,97.03,100.06,103.70,86.45
Total Revenue,101.18,97.03,100.06,103.70,86.45
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,6.46,6.24,6.42,7.41,7.33
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",4.79,3.97,-3.66,4.34,4.98
Total Operating Expense,68.75,66.57,60.35,69.51,57.13
Operating Income,32.43,30.47,39.71,34.19,29.33
"Interest Inc.(Exp.),Net-Non-Op., Total",1.53,1.51,1.43,0.74,0.05
"Other, Net",0,0,0,0,0
Net Income Before Taxes,33.96,31.98,41.14,34.93,29.38
Provision for Income Taxes,5.36,5.04,5.98,6.05,4.40
Net Income After Taxes,28.60,26.93,35.16,28.88,24.98
Net Income Before Extra. Items,28.16,26.50,34.70,28.41,24.49
Net Income,28.16,26.50,34.70,28.41,24.49
Income Available to Com Excl ExtraOrd,28.16,26.50,34.70,28.41,24.49
Income Available to Com Incl ExtraOrd,28.16,26.50,34.70,28.41,24.49
Diluted Net Income,28.16,26.50,34.70,28.41,24.49
Diluted Weighted Average Shares,354.57,354.57,354.57,354.57,354.57
Diluted EPS Excluding ExtraOrd Items,0.08,0.07,0.10,0.08,0.07
DPS - Common Stock Primary Issue,0.04,0.09,0.09,0.10,0.06
Diluted Normalised EPS,0.08,0.07,0.10,0.08,0.05
