Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,3.10,0,29.42,3.54,3.91
Short Term Investments,102.58,0,74.68,89.31,89.29
Cash and Short Term Investments,105.68,107.51,104.10,92.85,93.20
"Accounts Receivable - Trade, Net",13.26,13.42,16.86,16.18,10.51
"Total Receivables, Net",14.84,15.10,18.15,17.53,11.87
Prepaid Expenses,0.25,0,0.23,0.35,0.26
"Other Current Assets, Total",0.12,0,0.12,0.13,0.14
Total Current Assets,120.91,122.64,122.62,110.88,105.47
"Property/Plant/Equipment, Total - Gross",115.28,0,127.91,158.31,190.85
"Accumulated Depreciation, Total",-68.12,0,-71.82,-76.84,-101.10
"Property/Plant/Equipment, Total - Net",47.16,45.37,56.09,81.47,89.75
"Goodwill, Net",11.33,11.33,11.33,11.33,11.33
"Intangibles, Net",0.22,0.19,0.16,0.00,0
Long Term Investments,0.03,0.03,0.03,1.37,1.35
Total Assets,179.64,179.55,190.21,205.04,207.90
Accounts Payable,3.02,0,3.58,4.11,4.47
Accrued Expenses,14.57,0,15.50,16.57,14.42
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",9.46,5.45,10.62,17.02,19.24
Total Current Liabilities,27.05,28.32,29.69,38.90,39.21
Total Long Term Debt,0.00,0.00,0.00,32.30,31.69
Total Debt,0.00,0.00,0.00,33.51,32.78
Deferred Income Tax,1.77,1.92,1.66,1.55,1.54
"Other Liabilities, Total",0,0.00,7.05,0.00,0
Total Liabilities,29.79,31.22,39.38,73.72,73.65
"Common Stock, Total",36.28,36.28,36.28,36.28,36.28
Retained Earnings (Accumulated Deficit),110.76,112.04,114.53,95.05,98.01
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),3.07,0,0.00,-0.01,-0.03
"Other Equity, Total",-0.27,0.01,0.02,-0.00,-0.02
Total Equity,149.85,148.33,150.83,131.33,134.25
Total Liabilities & Shareholders' Equity,179.64,179.55,190.21,205.04,207.90
Total Common Shares Outstanding,354.57,354.57,354.57,354.57,354.57
"Tangible Book Value per Share, Common Eq",0.39,0.39,0.39,0.34,0.35
