Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PRESS,ARS,ARS,PRESS
Revenue,18.89,20.76,0.00,0.00,0.00
Total Revenue,18.89,20.76,0.00,0.00,0.00
"Selling/General/Admin. Expenses, Total",9.04,9.77,1.60,0.05,0.09
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,2.47,0.77,0.00,0
"Other Operating Expenses, Total",9.80,5.30,3.55,1.50,0.46
Total Operating Expense,27.85,28.36,5.92,1.55,0.55
Operating Income,-8.96,-7.61,-5.92,-1.55,-0.55
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.80,-2.81,0.00,-0.11,-0.17
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-10.77,-10.42,-5.92,-1.66,-0.72
Provision for Income Taxes,-0.33,-0.66,0.00,0.00,0.00
Net Income After Taxes,-10.43,-9.76,-5.92,-1.66,-0.72
Net Income Before Extra. Items,-10.22,-9.75,-5.90,-1.64,-0.72
Net Income,-10.22,-9.75,-50.22,14.90,-0.72
Income Available to Com Excl ExtraOrd,-10.22,-9.75,-5.90,-1.64,-0.72
Income Available to Com Incl ExtraOrd,-10.22,-9.75,-50.22,14.90,-0.72
Diluted Net Income,-10.22,-9.75,-50.22,14.90,-0.72
Diluted Weighted Average Shares,502.67,502.67,504.45,509.79,631.58
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.02,-0.01,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.01,-0.01,-0.00,-0.00
