Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,1639.23,4886.82,4166.13,1787.09,1402.44
Short Term Investments,1155.62,160.24,347.19,344.28,422.59
Cash and Short Term Investments,2794.86,6238.84,8110.58,5058.95,4610.40
"Accounts Receivable - Trade, Net",1116.60,1274.15,1699.01,1849.51,1640.84
"Total Receivables, Net",1288.13,1405.53,1834.33,1963.57,1794.41
Prepaid Expenses,173.29,100.48,88.26,102.95,115.74
"Other Current Assets, Total",61.02,56.90,71.16,66.33,315.15
Total Current Assets,4598.87,8158.70,10535.79,7626.33,7345.94
"Property/Plant/Equipment, Total - Gross",18015.62,18375.86,20149.49,24195.33,25676.16
"Accumulated Depreciation, Total",-4875.09,-5234.23,-6026.19,-6263.00,-7494.53
"Property/Plant/Equipment, Total - Net",13140.53,13141.62,14123.30,17932.32,18181.63
"Goodwill, Net",11076.00,10692.20,11829.20,12574.67,12123.11
"Intangibles, Net",2489.64,2278.44,2256.88,2081.27,1990.43
Long Term Investments,4392.15,3272.60,4411.05,3859.93,3942.07
Total Assets,37187.96,38925.48,45020.85,45053.29,44534.26
Accounts Payable,1000.39,988.93,1428.00,1348.55,1249.07
Accrued Expenses,729.63,907.45,1134.45,1020.91,973.05
Notes Payable/Short Term Debt,11.35,0.07,81.22,121.81,22.40
"Other Current liabilities, Total",1277.57,1452.95,1751.30,1997.76,2132.94
Total Current Liabilities,3641.90,4039.39,5518.07,5349.23,5615.07
Total Long Term Debt,6852.78,6948.05,9366.38,10117.63,10368.76
Total Debt,7487.10,7638.11,10570.71,11099.65,11628.77
Deferred Income Tax,1067.27,1011.22,982.33,1110.00,1168.26
"Other Liabilities, Total",1732.85,1026.09,802.37,382.46,346.81
Total Liabilities,15202.22,14876.66,20868.91,20555.59,20636.38
"Common Stock, Total",8231.70,16462.99,19427.59,19455.14,19473.36
Retained Earnings (Accumulated Deficit),2207.15,3036.50,417.31,841.49,613.27
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),406.04,85.89,85.89,83.43,83.43
"Other Equity, Total",2955.68,4463.44,4221.16,4117.63,3727.82
Total Equity,21985.74,24048.83,24151.94,24497.70,23897.88
Total Liabilities & Shareholders' Equity,37187.96,38925.48,45020.85,45053.29,44534.26
Total Common Shares Outstanding,8231.70,8239.58,8769.30,8773.99,8777.22
"Tangible Book Value per Share, Common Eq",1.02,1.34,1.15,1.12,1.11
