Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2036.86,2738.40,3283.26,2691.66,2333.66
Total Revenue,2036.86,2738.40,3283.26,2691.66,2333.66
"Selling/General/Admin. Expenses, Total",245.23,279.88,352.77,282.60,230.46
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.81,-0.29,-5.45,-3.78,-2.59
"Other Operating Expenses, Total",-4.47,-11.59,-10.26,-7.33,-0.62
Total Operating Expense,1723.02,2261.52,2571.68,2238.57,2031.88
Operating Income,313.84,476.89,711.58,453.08,301.78
"Interest Inc.(Exp.),Net-Non-Op., Total",-4.37,0,0,-0.48,-1.32
"Other, Net",0,0,0,0,0
Net Income Before Taxes,309.48,476.89,711.58,452.61,300.46
Provision for Income Taxes,87.77,135.52,70.31,63.71,81.68
Net Income After Taxes,221.71,341.37,641.28,388.90,218.78
Net Income Before Extra. Items,221.71,341.37,641.28,388.90,218.78
Net Income,221.71,341.37,641.28,388.90,218.78
Income Available to Com Excl ExtraOrd,221.71,341.37,641.28,388.90,218.78
Income Available to Com Incl ExtraOrd,221.71,341.37,641.28,388.90,218.78
Diluted Net Income,221.71,341.37,641.28,388.90,218.78
Diluted Weighted Average Shares,930.29,963.84,983.15,979.11,972.54
Diluted EPS Excluding ExtraOrd Items,0.24,0.35,0.65,0.40,0.22
DPS - Common Stock Primary Issue,0.02,0.07,0.14,0.05,0.05
Diluted Normalised EPS,0.24,0.36,0.65,0.39,0.22
