Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,221.71,341.37,641.28,388.90,218.78
Depreciation/Depletion,95.98,88.76,96.41,113.03,121.11
Non-Cash Items,94.29,147.62,47.38,47.07,103.05
Cash Taxes Paid,85.03,99.47,84.13,121.06,63.04
Changes in Working Capital,-209.12,-182.22,-86.10,-100.99,-16.07
Cash from Operating Activities,202.86,395.53,698.97,448.01,426.88
Capital Expenditures,-82.59,-208.95,-129.74,-72.38,-275.30
"Other Investing Cash Flow Items, Total",3.01,3.87,5.53,13.15,39.80
Cash from Investing Activities,-79.57,-205.09,-124.22,-59.22,-235.50
Total Cash Dividends Paid,-33.17,-46.57,-58.53,-135.51,-48.76
"Issuance (Retirement) of Stock, Net",-3.15,85.98,0.00,0,0
Cash from Financing Activities,-188.64,40.85,-51.49,-154.13,-103.61
Foreign Exchange Effects,0.05,-9.47,15.55,9.05,-43.39
Net Change in Cash,-65.31,221.83,538.81,243.71,44.38
