Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,ARS,ARS,ARS,ARS
Cash,274.22,499.63,1038.59,1279.91,1326.24
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,274.22,499.63,1038.59,1279.91,1326.24
"Accounts Receivable - Trade, Net",397.32,461.59,452.03,358.08,396.17
"Total Receivables, Net",577.95,655.88,708.85,539.06,593.85
Prepaid Expenses,0.84,1.29,1.90,2.42,6.83
"Other Current Assets, Total",1.68,0,0,28.67,15.97
Total Current Assets,1050.50,1424.68,2016.43,2219.63,2239.19
"Property/Plant/Equipment, Total - Gross",1055.04,1253.31,1363.78,1435.18,1756.47
"Accumulated Depreciation, Total",-505.61,-591.48,-672.98,-775.56,-891.86
"Property/Plant/Equipment, Total - Net",549.40,661.83,690.81,659.62,864.61
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,1642.40,2127.79,2747.32,2918.19,3172.07
Accounts Payable,52.20,71.12,63.21,63.93,54.42
Accrued Expenses,108.60,139.95,174.03,147.08,142.79
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",120.03,174.22,184.50,135.51,254.16
Total Current Liabilities,280.80,385.28,421.75,347.42,451.37
Total Long Term Debt,0.00,0.00,0.00,9.17,0.00
Total Debt,0.00,0.00,0.00,10.07,0.00
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,280.80,385.28,421.75,356.59,451.37
"Common Stock, Total",313.50,313.47,313.47,313.47,313.47
Retained Earnings (Accumulated Deficit),959.66,1277.42,1815.78,2033.98,2182.54
Treasury Stock - Common,-31.30,0.00,-2.08,-21.71,-29.35
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",119.74,151.61,198.40,235.86,254.03
Total Equity,1361.60,1742.50,2325.58,2561.60,2720.70
Total Liabilities & Shareholders' Equity,1642.40,2127.79,2747.32,2918.19,3172.07
Total Common Shares Outstanding,928.08,983.39,982.62,975.64,970.72
"Tangible Book Value per Share, Common Eq",1.47,1.77,2.37,2.63,2.80
