Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1477.94,1436.18,1280.91,983.57,813.36
Total Revenue,1477.94,1436.18,1280.91,983.57,813.36
"Selling/General/Admin. Expenses, Total",68.64,67.56,56.19,82.81,63.64
Depreciation/Amortisation,11.13,14.97,17.40,18.53,17.13
Unusual Expense (Income),-10.89,-0.32,-3.05,0.94,2.60
"Other Operating Expenses, Total",28.98,-6.38,13.63,-9.74,-0.17
Total Operating Expense,1419.19,1393.77,1213.27,918.31,763.86
Operating Income,58.75,42.40,67.63,65.26,49.50
"Interest Inc.(Exp.),Net-Non-Op., Total",-8.51,-13.12,-16.84,-19.39,-23.96
"Other, Net",-0.74,-1.04,-1.01,-1.21,-1.46
Net Income Before Taxes,49.51,28.24,49.78,44.66,24.19
Provision for Income Taxes,15.18,12.13,15.49,13.98,9.54
Net Income After Taxes,34.33,16.10,34.29,30.69,14.65
Net Income Before Extra. Items,34.33,16.11,34.30,30.69,15.16
Net Income,34.33,16.11,34.30,30.69,15.16
Income Available to Com Excl ExtraOrd,34.33,16.11,34.30,30.69,15.16
Income Available to Com Incl ExtraOrd,34.33,16.11,34.30,30.69,15.16
Diluted Net Income,34.33,16.11,34.30,30.69,15.16
Diluted Weighted Average Shares,400.00,400.00,400.00,400.00,400.00
Diluted EPS Excluding ExtraOrd Items,0.09,0.04,0.09,0.08,0.04
DPS - Common Stock Primary Issue,0.02,0.01,0.02,0.02,0.01
Diluted Normalised EPS,0.07,0.04,0.08,0.08,0.04
