Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,49.51,28.24,49.78,44.66,24.19
Depreciation/Depletion,10.19,14.05,16.47,17.58,16.87
Non-Cash Items,25.75,13.12,10.85,19.20,15.55
Cash Taxes Paid,15.94,29.10,15.12,18.13,5.14
Changes in Working Capital,-31.84,-166.98,-3.98,-35.95,-163.30
Cash from Operating Activities,54.54,-110.67,74.05,46.43,-106.43
Capital Expenditures,-57.41,-10.33,-18.63,-14.31,-16.77
"Other Investing Cash Flow Items, Total",6.43,2.67,6.98,5.72,0.95
Cash from Investing Activities,-50.98,-7.66,-11.65,-8.59,-15.82
Total Cash Dividends Paid,0,-8.00,-4.00,-8.00,-8.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-53.38,106.43,-90.30,-39.14,123.40
Foreign Exchange Effects,-0.50,-0.03,-0.01,-0.00,-0.04
Net Change in Cash,-50.32,-11.93,-27.91,-1.30,1.11
