Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,29.83,23.73,37.03,8.93,10.08
Short Term Investments,50.56,44.95,0,26.81,26.77
Cash and Short Term Investments,80.39,68.68,37.03,35.74,36.85
"Accounts Receivable - Trade, Net",30.73,11.44,21.33,13.68,25.58
"Total Receivables, Net",55.18,40.09,46.63,39.42,43.26
Prepaid Expenses,39.62,52.16,20.50,7.63,11.31
"Other Current Assets, Total",0,0.38,5.22,2.12,1.68
Total Current Assets,549.44,630.98,573.54,552.35,697.23
"Property/Plant/Equipment, Total - Gross",223.31,235.31,0,224.55,244.49
"Accumulated Depreciation, Total",-68.69,-79.00,0,-98.84,-99.66
"Property/Plant/Equipment, Total - Net",154.62,156.31,109.62,139.54,157.00
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",7.00,5.94,5.01,4.06,3.17
Long Term Investments,60.76,55.77,128.30,118.85,128.01
Total Assets,794.59,874.42,842.86,824.26,994.48
Accounts Payable,91.21,34.49,0,19.58,20.56
Accrued Expenses,10.87,11.43,0,11.88,10.66
Notes Payable/Short Term Debt,289.19,403.62,0.00,216.91,355.22
"Other Current liabilities, Total",44.14,55.42,4.47,44.29,117.39
Total Current Liabilities,435.40,554.12,414.65,348.86,505.45
Total Long Term Debt,50.28,0.00,49.18,76.65,53.54
Total Debt,339.47,452.78,293.02,349.75,410.39
Deferred Income Tax,1.96,1.34,4.28,1.91,2.55
"Other Liabilities, Total",27.58,27.90,26.47,27.65,39.66
Total Liabilities,515.51,583.66,494.86,455.36,600.98
"Common Stock, Total",100.00,174.67,200.00,200.00,200.00
Retained Earnings (Accumulated Deficit),64.33,72.44,148.00,166.21,173.38
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),31.73,37.19,0,8.28,12.36
"Other Equity, Total",6.66,6.47,0,-5.58,7.77
Total Equity,279.09,290.76,348.00,368.91,393.50
Total Liabilities & Shareholders' Equity,794.59,874.42,842.86,824.26,994.48
Total Common Shares Outstanding,400.00,400.00,400.00,400.00,400.00
"Tangible Book Value per Share, Common Eq",0.68,0.71,0.86,0.91,0.98
