Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,1.15,8.77,3.10,2.36,0.06
Cash and Short Term Investments,5.69,11.51,7.38,4.31,10.09
"Accounts Receivable - Trade, Net",0.28,0.51,0.44,0.17,0.09
"Total Receivables, Net",3.32,2.02,2.44,1.53,1.41
Prepaid Expenses,0.09,0.07,0.37,0.10,0.25
"Other Current Assets, Total",1.46,0.01,0,0,0
Total Current Assets,10.74,14.13,10.91,5.94,11.74
"Property/Plant/Equipment, Total - Gross",53.65,53.62,54.91,65.40,66.49
"Accumulated Depreciation, Total",-39.22,-34.12,-30.36,-31.69,-35.95
"Property/Plant/Equipment, Total - Net",14.43,19.50,24.55,33.71,30.54
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,12.10,23.08,23.66,25.12,24.65
Total Assets,37.27,56.71,59.12,64.77,66.93
Accounts Payable,0,0.56,0.36,0.00,0
Accrued Expenses,0.94,0.22,0.46,0.61,0.30
Notes Payable/Short Term Debt,6.44,1.43,0.00,0.00,0.00
"Other Current liabilities, Total",1.22,1.07,0.80,0.44,0.92
Total Current Liabilities,9.75,5.96,10.96,7.14,7.45
Total Long Term Debt,12.21,12.99,5.08,13.05,9.94
Total Debt,19.80,17.11,14.42,19.14,16.16
Deferred Income Tax,0.00,0.00,0,0,0
"Other Liabilities, Total",0,0,0,0.74,0.00
Total Liabilities,21.96,18.96,16.03,20.93,17.39
"Common Stock, Total",22.87,27.44,32.93,32.93,0.55
Retained Earnings (Accumulated Deficit),-42.39,-32.50,-31.25,-31.07,49.12
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.00,0.06,-1.04,-0.41,-0.38
"Other Equity, Total",-0.05,0.25,-0.00,-0.06,0.25
Total Equity,15.30,37.76,43.08,43.84,49.54
Total Liabilities & Shareholders' Equity,37.27,56.71,59.12,64.77,66.93
Total Common Shares Outstanding,457.42,548.85,658.63,658.63,548.85
"Tangible Book Value per Share, Common Eq",0.03,0.07,0.07,0.07,0.09
