Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,322.85,219.79,196.07,194.63,177.06
Depreciation/Depletion,6.75,6.54,7.21,7.73,7.70
Non-Cash Items,-143.79,-37.10,-11.47,-16.23,-37.70
Cash Taxes Paid,45.17,47.45,57.79,51.81,38.76
Changes in Working Capital,-88.09,-168.88,-48.01,28.51,11.19
Cash from Operating Activities,97.72,20.34,143.80,214.64,158.25
Capital Expenditures,-14.05,-29.58,-29.83,-21.49,-5.71
"Other Investing Cash Flow Items, Total",-80.06,-103.41,-18.79,-63.73,50.04
Cash from Investing Activities,-94.10,-132.98,-48.62,-85.22,44.33
Total Cash Dividends Paid,-1.75,-1.78,-1.60,-1.34,-26.43
"Issuance (Retirement) of Stock, Net",18.25,17.76,18.62,21.78,13.81
Cash from Financing Activities,-80.66,-10.61,-74.57,-49.92,69.54
Foreign Exchange Effects,-11.37,1.91,24.75,5.23,-49.56
Net Change in Cash,-88.40,-121.35,45.36,84.74,222.55
