Fiscal Year,2018,2019,2020,2021
Period Ended,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Revenue,24.33,22.43,21.93,20.38
Total Revenue,24.33,22.43,21.93,20.38
"Selling/General/Admin. Expenses, Total",19.69,19.25,22.95,24.89
Depreciation/Amortisation,4.36,5.76,6.12,6.30
Unusual Expense (Income),0,0,0,0
"Other Operating Expenses, Total",-6.54,-8.79,-12.97,-18.99
Total Operating Expense,17.51,16.22,16.11,12.20
Operating Income,6.82,6.22,5.81,8.17
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.19,-1.34,-1.46,-1.35
"Other, Net",-0.09,-0.01,-0.00,0
Net Income Before Taxes,5.54,4.86,4.36,6.83
Provision for Income Taxes,0.06,0.57,0.48,1.46
Net Income After Taxes,5.48,4.30,3.88,5.37
Net Income Before Extra. Items,5.48,4.30,4.04,5.70
Net Income,5.48,4.30,4.04,5.70
Income Available to Com Excl ExtraOrd,5.48,4.30,4.04,5.70
Income Available to Com Incl ExtraOrd,5.48,4.30,4.04,5.70
Diluted Net Income,5.48,4.30,4.04,5.70
Diluted Weighted Average Shares,207.00,207.00,207.00,207.00
Diluted EPS Excluding ExtraOrd Items,0.03,0.02,0.02,0.03
DPS - Common Stock Primary Issue,0,0,0,0.01
Diluted Normalised EPS,0.03,0.02,0.02,0.03
