Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS/A,PROSPECTUS/A,20-F,20-F
Revenue,348.48,466.77,680.56,778.29
Total Revenue,348.48,466.77,680.56,778.29
"Selling/General/Admin. Expenses, Total",201.94,114.03,187.07,188.63
Depreciation/Amortisation,0.38,0.33,0.11,0.03
Unusual Expense (Income),0,0,0,17.11
"Other Operating Expenses, Total",3.67,0.66,7.21,4.29
Total Operating Expense,213.97,120.22,196.71,212.02
Operating Income,134.51,346.54,483.85,566.27
"Interest Inc.(Exp.),Net-Non-Op., Total",656.32,247.04,484.43,424.51
"Other, Net",17.76,15.39,20.97,10.64
Net Income Before Taxes,808.59,608.97,989.25,1001.42
Provision for Income Taxes,135.21,83.84,158.35,-137.54
Net Income After Taxes,673.37,525.13,830.90,1138.96
Net Income Before Extra. Items,568.27,468.06,938.27,1138.96
Net Income,568.27,468.06,938.27,1138.96
Income Available to Com Excl ExtraOrd,568.27,468.06,938.27,1059.97
Income Available to Com Incl ExtraOrd,568.27,468.06,938.27,1059.97
Diluted Net Income,568.27,468.06,938.27,1059.97
Diluted Weighted Average Shares,230.66,230.66,245.61,245.95
Diluted EPS Excluding ExtraOrd Items,2.46,2.03,3.82,4.31
DPS - Common Stock Primary Issue,0,0,0,0
Diluted Normalised EPS,2.46,2.03,3.82,4.35
