Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS/A,PROSPECTUS/A,20-F,20-F
Net Income/Starting Line,808.59,608.97,989.25,1001.42
Depreciation/Depletion,0.38,0.33,0.11,0.03
Non-Cash Items,-725.62,-346.65,-615.14,37.03
Cash Taxes Paid,44.59,17.44,9.21,76.78
Changes in Working Capital,0.98,-183.54,335.27,955.49
Cash from Operating Activities,84.33,79.11,709.50,1993.98
Capital Expenditures,-0.14,-0.01,-0.01,-0.11
"Other Investing Cash Flow Items, Total",0,0,-2957.93,-3581.23
Cash from Investing Activities,-0.14,-0.01,-2957.94,-3581.34
Total Cash Dividends Paid,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,94.20,0.00
Cash from Financing Activities,-67.28,-38.66,2888.01,1274.41
Foreign Exchange Effects,0,0,0,0.49
Net Change in Cash,16.91,40.44,639.57,-312.46
