Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS/A,PROSPECTUS/A,20-F,20-F
Cash,489.91,742.35,1011.93,651.28
Short Term Investments,745.63,1953.08,1572.70,62.52
Cash and Short Term Investments,1235.54,2695.43,2584.63,713.80
"Accounts Receivable - Trade, Net",2551.88,2823.35,3268.22,6554.62
"Total Receivables, Net",4768.63,4368.71,4470.10,6555.71
Prepaid Expenses,21.37,27.30,35.09,23.22
"Other Current Assets, Total",0.46,0.45,1165.67,1024.46
Total Current Assets,6025.99,7091.89,8255.49,8317.19
"Property/Plant/Equipment, Total - Gross",4.06,4.07,4.08,4.20
"Accumulated Depreciation, Total",-3.60,-3.94,-4.05,-4.08
"Property/Plant/Equipment, Total - Net",0.45,0.13,0.03,0.11
"Goodwill, Net",0,0,0,0
"Intangibles, Net",15.17,15.17,15.17,15.17
Long Term Investments,0,0,0,0
Total Assets,6041.62,7107.19,8270.69,10526.29
Accounts Payable,2884.01,3322.20,492.04,201.99
Accrued Expenses,0,0,0,0
Notes Payable/Short Term Debt,351.61,322.00,317.72,232.28
"Other Current liabilities, Total",0.00,80.22,206.67,170.56
Total Current Liabilities,3242.13,3749.43,1082.47,685.88
Total Long Term Debt,0.00,0.00,96.00,103.28
Total Debt,351.61,322.00,413.72,335.56
Deferred Income Tax,130.21,163.36,242.91,0.00
"Other Liabilities, Total",0,0,20.81,12.95
Total Liabilities,3857.88,4455.39,1442.20,802.11
"Common Stock, Total",0.16,0.16,0.19,0.19
Retained Earnings (Accumulated Deficit),2183.58,2651.64,6828.30,7888.28
Treasury Stock - Common,0,0,0,0
Unrealised Gain (Loss),0,0,0,0
"Other Equity, Total",0,0,0,1835.71
Total Equity,2183.74,2651.80,6828.49,9724.18
Total Liabilities & Shareholders' Equity,6041.62,7107.19,8270.69,10526.29
Total Common Shares Outstanding,230.66,230.66,245.61,245.61
"Tangible Book Value per Share, Common Eq",9.40,11.43,27.74,39.53
