Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,12.29,12.35,10.05
Short Term Investments,0.00,0.00,0.74,0.00,0.00
Cash and Short Term Investments,32.44,28.61,13.03,12.35,10.05
"Accounts Receivable - Trade, Net",8.43,26.05,19.92,21.45,3.34
"Total Receivables, Net",8.43,26.05,19.92,21.45,23.29
Prepaid Expenses,0,0,0,0,3.19
"Other Current Assets, Total",0,0,0.06,0.48,0.71
Total Current Assets,51.34,72.53,52.44,54.13,58.32
"Property/Plant/Equipment, Total - Gross",0,0,196.90,284.55,267.80
"Accumulated Depreciation, Total",0,0,-36.14,-22.07,-29.05
"Property/Plant/Equipment, Total - Net",7.73,135.67,160.77,262.49,238.75
"Goodwill, Net",0,0,21.36,20.53,17.31
"Intangibles, Net",0.00,59.52,32.34,28.32,21.55
Long Term Investments,0.10,0.12,0.61,0.15,0.13
Total Assets,68.32,283.13,292.75,368.48,337.42
Accounts Payable,0,0,6.04,0,0
Accrued Expenses,0,0,3.03,0,0
Notes Payable/Short Term Debt,3.48,6.67,1.72,0.00,0.00
"Other Current liabilities, Total",0.96,0.77,18.93,0.19,3.42
Total Current Liabilities,8.28,27.99,29.75,58.43,45.79
Total Long Term Debt,0.00,0.14,0.11,15.36,0.00
Total Debt,3.49,6.83,1.85,15.36,0.00
Deferred Income Tax,0.12,8.63,8.90,8.89,10.09
"Other Liabilities, Total",0.85,0.72,3.10,21.87,42.32
Total Liabilities,5.55,93.57,97.89,163.40,144.68
"Common Stock, Total",143.13,273.63,273.63,276.82,276.82
Retained Earnings (Accumulated Deficit),-75.61,-84.86,-71.00,-57.25,-47.20
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),2.45,2.65,2.67,0.36,0.16
"Other Equity, Total",-7.21,-1.87,-10.44,-14.86,-37.04
Total Equity,62.77,189.56,194.86,205.08,192.74
Total Liabilities & Shareholders' Equity,68.32,283.13,292.75,368.48,337.42
Total Common Shares Outstanding,1163.82,5663.82,5663.82,5734.73,5734.73
"Tangible Book Value per Share, Common Eq",0.05,0.02,0.02,0.03,0.03
