Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,25.62,41.11,114.11,131.23,141.63
Total Revenue,25.62,41.11,114.11,131.23,141.63
"Selling/General/Admin. Expenses, Total",10.89,10.44,8.60,9.64,17.89
Depreciation/Amortisation,1.02,2.55,8.48,9.12,0
Unusual Expense (Income),0.06,0.06,0.00,1.22,-0.08
"Other Operating Expenses, Total",4.01,11.41,32.14,33.98,-2.03
Total Operating Expense,25.39,40.79,82.87,97.47,111.56
Operating Income,0.23,0.33,31.23,33.76,30.06
"Interest Inc.(Exp.),Net-Non-Op., Total",0.11,-0.04,-0.15,-0.35,-2.53
"Other, Net",0,0,0,0,-1.30
Net Income Before Taxes,0.34,0.29,31.08,33.41,26.23
Provision for Income Taxes,0.03,-0.07,4.43,5.02,7.34
Net Income After Taxes,0.31,0.36,26.66,28.38,18.89
Net Income Before Extra. Items,0.58,-1.51,16.39,15.73,8.79
Net Income,0.58,-1.51,16.39,15.73,8.79
Income Available to Com Excl ExtraOrd,0.58,-1.51,16.39,15.73,8.79
Income Available to Com Incl ExtraOrd,0.58,-1.51,16.39,15.73,8.79
Diluted Net Income,0.58,-1.51,16.39,15.73,8.79
Diluted Weighted Average Shares,1014.30,1595.32,5663.82,5704.81,5734.73
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,0.00,0.00,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,-0.00,0.00,0.00,0.00
