Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,4.13,4.32,10.26,3.76,2.06
"Accounts Receivable - Trade, Net",1.06,0.20,0.22,0.30,0.23
"Total Receivables, Net",1.13,0.29,0.67,0.54,0.40
Prepaid Expenses,0.04,0.04,0.06,0.04,0.08
"Other Current Assets, Total",0.18,0.10,0.20,0.22,0.14
Total Current Assets,5.48,4.75,11.18,4.56,2.69
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",4.43,5.67,10.57,12.08,13.39
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0.26,0.31,0.31,0.31
Long Term Investments,54.45,60.67,41.04,35.56,35.77
Total Assets,64.36,71.34,63.10,61.02,60.69
Accounts Payable,0.15,0.10,0.10,0.13,0.10
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,6.14,5.60,4.95,4.27,4.00
"Other Current liabilities, Total",10.53,8.80,6.99,3.03,2.70
Total Current Liabilities,16.81,14.49,12.04,7.47,12.98
Total Long Term Debt,4.76,5.08,5.43,5.86,0.03
Total Debt,10.90,10.68,10.38,10.18,10.21
Deferred Income Tax,0.24,0.19,0.13,0.07,0.00
"Other Liabilities, Total",2.32,2.37,2.37,2.37,2.37
Total Liabilities,26.41,24.55,22.44,21.11,21.79
"Common Stock, Total",40.88,40.88,40.88,40.88,40.88
Retained Earnings (Accumulated Deficit),2.89,11.02,7.51,6.78,4.99
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),1.66,2.12,0.57,0.43,-0.32
"Other Equity, Total",-7.48,-7.22,-8.30,-8.17,-6.65
Total Equity,37.95,46.79,40.66,39.91,38.90
Total Liabilities & Shareholders' Equity,64.36,71.34,63.10,61.02,60.69
Total Common Shares Outstanding,9.74,9.74,9.74,9.74,9.74
"Tangible Book Value per Share, Common Eq",3.90,4.78,4.14,4.07,3.96
