Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2213.13,2510.39,2580.45,2277.88,2064.88
Total Revenue,2213.13,2510.39,2580.45,2277.88,2064.88
"Selling/General/Admin. Expenses, Total",555.67,544.16,588.41,567.82,552.56
Depreciation/Amortisation,199.89,178.85,179.78,174.16,146.00
Unusual Expense (Income),-5.92,-71.81,-2.86,-3.73,-4.32
"Other Operating Expenses, Total",430.34,491.70,512.57,479.86,389.05
Total Operating Expense,1933.25,2125.74,2343.68,2086.36,1844.02
Operating Income,279.87,384.65,236.78,191.52,220.87
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.01,0.00,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,279.87,384.65,236.78,191.52,220.87
Provision for Income Taxes,87.31,107.73,66.26,42.18,39.79
Net Income After Taxes,192.56,276.92,170.52,149.34,181.08
Net Income Before Extra. Items,191.73,278.28,170.52,149.34,181.08
Net Income,191.73,278.28,170.52,149.34,181.08
Income Available to Com Excl ExtraOrd,191.73,278.28,170.52,149.34,181.08
Income Available to Com Incl ExtraOrd,191.73,278.28,170.52,149.34,181.08
Diluted Net Income,191.73,278.28,170.52,149.34,181.08
Diluted Weighted Average Shares,631.68,631.68,631.68,631.68,631.68
Diluted EPS Excluding ExtraOrd Items,0.30,0.44,0.27,0.24,0.29
DPS - Common Stock Primary Issue,0.19,0.28,0.24,0.22,0.28
Diluted Normalised EPS,0.30,0.36,0.27,0.23,0.28
