Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,745.11,673.91,645.78,753.74,918.62
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,745.11,673.91,645.78,753.74,918.62
"Accounts Receivable - Trade, Net",305.26,305.25,247.44,190.21,170.45
"Total Receivables, Net",329.81,336.95,267.77,215.48,191.40
Prepaid Expenses,1.80,1.94,1.84,0.00,0
"Other Current Assets, Total",56.05,104.99,82.01,88.62,78.97
Total Current Assets,1530.55,1647.53,1553.19,1595.32,1766.12
"Property/Plant/Equipment, Total - Gross",3079.34,3373.62,3233.33,3243.99,3512.12
"Accumulated Depreciation, Total",-2158.42,-2457.26,-2447.68,-2472.37,-2728.99
"Property/Plant/Equipment, Total - Net",920.92,916.36,785.65,771.62,783.13
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,179.50,190.00,208.00,198.00,181.50
Total Assets,2733.39,2851.81,2630.09,2570.49,2745.64
Accounts Payable,106.42,0,0,0,0
Accrued Expenses,32.92,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",286.86,17.45,44.81,56.21,75.13
Total Current Liabilities,380.95,373.90,335.96,330.79,341.97
Total Long Term Debt,0.00,0.00,0.00,9.36,8.85
Total Debt,0.00,0.00,0.00,14.72,14.29
Deferred Income Tax,23.81,26.10,30.38,22.95,30.85
"Other Liabilities, Total",106.51,109.65,96.91,92.33,89.59
Total Liabilities,526.63,509.65,463.26,455.42,471.25
"Common Stock, Total",63.17,63.17,63.17,63.17,63.17
Retained Earnings (Accumulated Deficit),1771.96,1772.29,1690.14,1694.20,1742.63
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",215.42,350.48,257.31,201.49,312.39
Total Equity,2206.76,2342.16,2166.83,2115.07,2274.39
Total Liabilities & Shareholders' Equity,2733.39,2851.81,2630.09,2570.49,2745.64
Total Common Shares Outstanding,631.68,631.68,631.68,631.68,631.68
"Tangible Book Value per Share, Common Eq",3.49,3.71,3.43,3.35,3.60
