Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,8.64,1.51,1.46,1.00,-95.93
Depreciation/Depletion,15.62,21.03,20.17,16.67,14.97
Non-Cash Items,3.57,4.51,8.05,2.73,18.15
Cash Taxes Paid,0.37,0.62,0.41,1.20,0.00
Changes in Working Capital,0.18,-1.50,-29.27,-12.04,70.12
Cash from Operating Activities,28.00,25.55,0.41,8.35,7.30
Capital Expenditures,-14.81,-8.80,-2.52,-0.58,-0.42
"Other Investing Cash Flow Items, Total",1.32,0.17,8.92,7.93,29.46
Cash from Investing Activities,-13.49,-8.63,6.40,7.35,29.05
Total Cash Dividends Paid,0,-1.32,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-4.74,-28.63,-16.64,-22.97,-33.86
Foreign Exchange Effects,-0.16,-0.00,0.00,-0.30,-0.01
Net Change in Cash,9.61,-11.71,-9.82,-7.57,2.49
