Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,236.34,202.73,163.80,112.12,89.27
Total Revenue,236.34,202.73,163.80,112.12,89.27
"Selling/General/Admin. Expenses, Total",29.71,17.06,13.15,14.16,12.67
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.43,-0.18,-2.32,-3.19,33.52
"Other Operating Expenses, Total",-1.02,-2.13,-2.40,-10.03,-11.71
Total Operating Expense,228.58,196.85,151.57,103.23,184.79
Operating Income,7.76,5.87,12.23,8.90,-95.52
"Interest Inc.(Exp.),Net-Non-Op., Total",0.88,-4.36,-10.77,-9.08,-2.18
"Other, Net",0,0,0,0,0
Net Income Before Taxes,8.64,1.51,1.46,-0.19,-97.69
Provision for Income Taxes,0.89,-0.17,1.36,0.19,-1.39
Net Income After Taxes,7.75,1.68,0.10,-0.38,-96.31
Net Income Before Extra. Items,7.99,1.86,0.12,-0.60,-96.62
Net Income,7.99,1.86,0.12,0.26,-95.41
Income Available to Com Excl ExtraOrd,7.99,1.86,0.12,-0.60,-96.62
Income Available to Com Incl ExtraOrd,7.99,1.86,0.12,0.26,-95.41
Diluted Net Income,7.99,1.86,0.12,0.26,-95.41
Diluted Weighted Average Shares,263.10,263.10,263.10,263.10,263.10
Diluted EPS Excluding ExtraOrd Items,0.03,0.01,0.00,-0.00,-0.37
DPS - Common Stock Primary Issue,0.01,0.00,0,0,0
Diluted Normalised EPS,0.04,0.01,-0.01,-0.01,-0.28
