Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1993.90,1616.10,2665.40,2319.70,2094.20
Total Revenue,1993.90,1616.10,2665.40,2319.70,2094.20
"Selling/General/Admin. Expenses, Total",112.00,135.70,174.30,185.60,190.00
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-1.20,-3.00,0.00,0,-17.70
"Other Operating Expenses, Total",-11.70,-17.00,-27.60,-25.90,-20.70
Total Operating Expense,-1527.80,-3992.10,333.60,1969.10,4577.60
Operating Income,3521.70,5608.20,2331.80,350.60,-2483.40
"Interest Inc.(Exp.),Net-Non-Op., Total",3.60,187.90,344.20,130.50,-11.40
"Other, Net",-13.40,-17.40,-4.80,-11.80,-12.40
Net Income Before Taxes,3511.90,5778.70,2671.20,469.30,-2507.20
Provision for Income Taxes,167.30,153.10,214.10,267.10,144.60
Net Income After Taxes,3344.60,5625.60,2457.10,202.20,-2651.80
Net Income Before Extra. Items,3346.30,5613.90,2457.10,198.00,-2647.40
Net Income,3346.30,5613.90,2457.10,198.00,-2647.40
Income Available to Com Excl ExtraOrd,3346.30,5613.90,2457.10,198.00,-2647.40
Income Available to Com Incl ExtraOrd,3346.30,5613.90,2457.10,198.00,-2647.40
Diluted Net Income,3346.30,5613.90,2457.10,198.00,-2647.40
Diluted Weighted Average Shares,2352.80,2352.80,2341.80,2333.90,2333.90
Diluted EPS Excluding ExtraOrd Items,1.42,2.39,1.05,0.08,-1.13
DPS - Common Stock Primary Issue,0.19,0.20,0.22,0.22,0.22
Diluted Normalised EPS,1.42,2.38,1.05,0.08,-1.14
